source,target,correlation,direct,cor
ASV105,ASV62,1,undirected,+
ASV93,ASV48,1,undirected,+
ASV62,ASV46,1,undirected,+
ASV105,ASV46,1,undirected,+
ASV48,ASV29,0.66674287020657,undirected,+
ASV93,ASV29,0.66674287020657,undirected,+
ASV94,ASV18,0.855397112006221,undirected,+
ASV91,ASV85,0.66674287020657,undirected,+
ASV50,ASV101,0.66674287020657,undirected,+
ASV63,ASV72,1,undirected,+
ASV99,ASV58,0.720082299823096,undirected,+
ASV75,ASV58,0.720082299823096,undirected,+
ASV26,ASV58,0.66674287020657,undirected,+
ASV53,ASV35,0.66674287020657,undirected,+
ASV58,ASV35,0.997256515775034,undirected,+
ASV99,ASV35,0.66674287020657,undirected,+
ASV75,ASV35,0.66674287020657,undirected,+
ASV26,ASV35,0.720082299823096,undirected,+
ASV58,ASV53,0.720082299823096,undirected,+
ASV99,ASV53,1,undirected,+
ASV75,ASV53,1,undirected,+
ASV75,ASV99,1,undirected,+
