"","KO","Means","SD"
"num.edges(L)","22","22","0"
"num.pos.edges","22","0","0"
"num.neg.edges","0","0","0"
"num.vertices(n)","20","20","0"
"Connectance(edge_density)","0.115789473684211","0.115789473684211","0"
"average.degree(Average K)","2.2","2.2","0"
"average.path.length","0.889096051952608","2.99193252571002","0.325970277456752"
"diameter","1.38682517002967","6.51","1.12362148988227"
"edge.connectivity","0","0.07","0.256432399976243"
"mean.clustering.coefficient(Average.CC)","0.95","0.1177287529464","0.0983405073328475"
"no.clusters","7","3.03","0.989388138643722"
"centralization.degree","0.147368421052632","0.148421052631579","0.0484691068208741"
"centralization.betweenness","0.00831024930747922","0.282897301733867","0.0954162790356679"
"centralization.closeness","0.0946637426900585","NaN",NA
"RM(relative.modularity)","1.15027084627921","0.0295576749787931","0.180336099274387"
"the.number.of.keystone.nodes","Not.calculated","0","0"
