ID,Domain,Phylum,Class,Order,Family,Genus,Species,Trophic.Mode,Guild,Trait,Confidence.Ranking,Genus_species,mean,Label
ASV101,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Marchandiomyces,buckii,Pathotroph,Lichen Parasite,NULL,Probable,Marchandiomyces_buckii,0.0256109022556391,ASV101
ASV104,Fungi,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Hericium,coralloides,Saprotroph,Undefined Saprotroph,White Rot,Probable,Hericium_coralloides,0.0290220342080887,ASV104
ASV105,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,flaviporus,Saprotroph,Undefined Saprotroph,White Rot,Probable,Xylodon_flaviporus,3.15720347544959e-06,ASV105
ASV107,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,raduloides,Saprotroph,Undefined Saprotroph,White Rot,Probable,Xylodon_raduloides,4.18508102316861e-06,ASV107
ASV12,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,raduloides,Saprotroph,Undefined Saprotroph,White Rot,Probable,Xylodon_raduloides,0.0717269237745124,ASV12
ASV18,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,ostrea,Saprotroph,Undefined Saprotroph,White Rot,Probable,Stereum_ostrea,0.0201065428101388,ASV18
ASV25,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Ossicaulis,lachnopus,Saprotroph,Wood Saprotroph,Brown Rot,Probable,Ossicaulis_lachnopus,0.0312566172578084,ASV25
ASV26,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,hirsutum,Saprotroph,Undefined Saprotroph,White Rot,Probable,Stereum_hirsutum,0.0379241328365647,ASV26
ASV27,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Antrodiella,brasiliensis,Saprotroph,Wood Saprotroph,White Rot,Highly Probable,Antrodiella_brasiliensis,0.0312334568554791,ASV27
ASV29,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Exidiaceae,Basidiodendron,eyrei,Saprotroph,Undefined Saprotroph,NULL,Probable,Basidiodendron_eyrei,0.0640667344173442,ASV29
ASV32,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellales_fam_Incertae_sedis,Sistotrema,oblongisporum,Saprotroph-Symbiotroph,Ectomycorrhizal-Wood Saprotroph,White Rot,Possible,Sistotrema_oblongisporum,0.0277777777777778,ASV32
ASV34,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entocybe,NA,Saprotroph,Undefined Saprotroph,NULL,Probable,Entocybe_NA,0.0837804122104357,ASV34
ASV35,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Fomes,fomentarius,Saprotroph,Wood Saprotroph,Brown Rot-White Rot,Probable,Fomes_fomentarius,0.0137313256347214,ASV35
ASV41,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,renati,Pathotroph-Saprotroph,Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph,NULL,Probable,Mycena_renati,0.0447423266388784,ASV41
