source,target,correlation,direct,cor
ASV53,ASV35,1,undirected,+
ASV99,ASV35,0.7184212081071,undirected,+
ASV99,ASV53,0.7184212081071,undirected,+
ASV35,ASV58,0.997918834547346,undirected,+
ASV53,ASV58,0.997918834547346,undirected,+
ASV99,ASV58,0.672071452745351,undirected,+
ASV94,ASV18,0.756880733944954,undirected,+
ASV18,ASV7,0.615593426394817,undirected,+
ASV94,ASV7,0.857403292364565,undirected,+
ASV62,ASV46,0.678597681865113,undirected,+
ASV27,ASV25,0.672071452745351,undirected,+
ASV63,ASV72,1,undirected,+
ASV107,ASV47,0.7184212081071,undirected,+
ASV105,ASV47,0.672071452745351,undirected,+
ASV47,ASV54,0.672071452745351,undirected,+
ASV105,ASV54,1,undirected,+
ASV47,ASV67,0.7184212081071,undirected,+
ASV107,ASV67,1,undirected,+
