"","KO","Means","SD"
"num.edges(L)","18","18","0"
"num.pos.edges","18","0","0"
"num.neg.edges","0","0","0"
"num.vertices(n)","18","18","0"
"Connectance(edge_density)","0.117647058823529","0.117647058823529","0"
"average.degree(Average K)","2","2","0"
"average.path.length","0.91037518593108","3.01083771713275","0.458917691474575"
"diameter","1.39049266085245","6.6","1.35587014067861"
"edge.connectivity","0","0.02","0.14070529413629"
"mean.clustering.coefficient(Average.CC)","0.944444444444445","0.107576607651608","0.10304040578396"
"no.clusters","6","3.23","0.993463485473773"
"centralization.degree","0.117647058823529","0.15235294117647","0.0443162493562977"
"centralization.betweenness","0.0294117647058824","0.28073053633218","0.0936319618744786"
"centralization.closeness","0.161764705882353","NaN",NA
"RM(relative.modularity)","0.573565210716808","-0.019260639094694","0.192386872157494"
"the.number.of.keystone.nodes","Not.calculated","0","0"
