ID,Domain,Phylum,Class,Order,Family,Genus,Species,Trophic.Mode,Guild,Trait,Confidence.Ranking,Genus_species,mean,Label
ASV104,Fungi,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Hericium,coralloides,Saprotroph,Undefined Saprotroph,White Rot,Probable,Hericium_coralloides,0.0162900188323917,ASV104
ASV105,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,flaviporus,Saprotroph,Undefined Saprotroph,White Rot,Probable,Xylodon_flaviporus,7.57575757575758e-05,ASV105
ASV107,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,raduloides,Saprotroph,Undefined Saprotroph,White Rot,Probable,Xylodon_raduloides,0.0150621778205113,ASV107
ASV108,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Exidiaceae,Exidia,glandulosa,Saprotroph-Symbiotroph,Endophyte-Undefined Saprotroph,NULL,Probable,Exidia_glandulosa,0.0136288867664226,ASV108
ASV12,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,raduloides,Saprotroph,Undefined Saprotroph,White Rot,Probable,Xylodon_raduloides,0.0466932728265552,ASV12
ASV18,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,ostrea,Saprotroph,Undefined Saprotroph,White Rot,Probable,Stereum_ostrea,0.0280209965073848,ASV18
ASV25,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Ossicaulis,lachnopus,Saprotroph,Wood Saprotroph,Brown Rot,Probable,Ossicaulis_lachnopus,0.00244114038931286,ASV25
ASV26,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,hirsutum,Saprotroph,Undefined Saprotroph,White Rot,Probable,Stereum_hirsutum,0.062600046084877,ASV26
ASV27,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Antrodiella,brasiliensis,Saprotroph,Wood Saprotroph,White Rot,Highly Probable,Antrodiella_brasiliensis,0.00569105691056911,ASV27
ASV29,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Exidiaceae,Basidiodendron,eyrei,Saprotroph,Undefined Saprotroph,NULL,Probable,Basidiodendron_eyrei,0.00335520108252798,ASV29
ASV34,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entocybe,NA,Saprotroph,Undefined Saprotroph,NULL,Probable,Entocybe_NA,0.0529490870380864,ASV34
ASV35,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Fomes,fomentarius,Saprotroph,Wood Saprotroph,Brown Rot-White Rot,Probable,Fomes_fomentarius,0.0401989958511261,ASV35
ASV41,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,renati,Pathotroph-Saprotroph,Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph,NULL,Probable,Mycena_renati,0.025461245769094,ASV41
ASV42,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Ossicaulis,lachnopus,Saprotroph,Wood Saprotroph,Brown Rot,Probable,Ossicaulis_lachnopus,0.050985602118309,ASV42
ASV46,Fungi,Basidiomycota,Atractiellomycetes,Atractiellales,Atractiellales_fam_Incertae_sedis,Helicogloea,pellucida,Saprotroph,Undefined Saprotroph,NULL,Probable,Helicogloea_pellucida,0.0664977477477477,ASV46
ASV47,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pterulaceae,Radulomyces,molaris,Saprotroph,Undefined Saprotroph,White Rot,Probable,Radulomyces_molaris,0.00017636684303351,ASV47
ASV49,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,livescens,Saprotroph,Wood Saprotroph,White Rot,Highly Probable,Phanerochaete_livescens,0.000337619423891962,ASV49
ASV53,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Fomes,fomentarius,Saprotroph,Wood Saprotroph,Brown Rot-White Rot,Probable,Fomes_fomentarius,0.0133943733076323,ASV53
