source,target,correlation,direct,cor
ASV94,ASV18,0.745531254301336,undirected,+
ASV25,ASV27,0.719194952228076,undirected,+
ASV27,ASV62,1,undirected,+
ASV25,ASV62,0.719194952228076,undirected,+
ASV18,ASV8,0.613275639834252,undirected,+
ASV94,ASV7,0.856366481839498,undirected,+
ASV49,ASV41,0.719194952228076,undirected,+
ASV91,ASV72,1,undirected,+
ASV108,ASV82,0.719194952228076,undirected,+
ASV108,ASV61,0.669595300350278,undirected,+
ASV99,ASV53,1,undirected,+
ASV53,ASV35,0.669595300350278,undirected,+
ASV99,ASV35,0.669595300350278,undirected,+
ASV58,ASV35,0.828632780958424,undirected,+
ASV53,ASV107,0.669595300350278,undirected,+
ASV99,ASV107,0.669595300350278,undirected,+
