"","KO","Means","SD"
"num.edges(L)","16","16","0"
"num.pos.edges","16","0","0"
"num.neg.edges","0","0","0"
"num.vertices(n)","19","19","0"
"Connectance(edge_density)","0.0935672514619883","0.0935672514619883","0"
"average.degree(Average K)","1.68421052631579","1.68421052631579","0"
"average.path.length","1.05569586964183","3.01361365130236","0.498217808320216"
"diameter","2.21517337597509","6.62","1.32405865169611"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.566666666666667","0.0902120490620491","0.109923469349987"
"no.clusters","6","4.83","0.985295935649833"
"centralization.degree","0.0730994152046784","0.138654970760234","0.0413182212939896"
"centralization.betweenness","0.0170660856935367","0.237902142338417","0.0948401563582891"
"centralization.closeness","0.422657952069717","NaN",NA
"RM(relative.modularity)","0.413133897234303","-0.0203988660794","0.183648506642525"
"the.number.of.keystone.nodes","Not.calculated","0","0"
