qlist,qlistlabel,eppocode,organism_prefname,yr_add,main_category
E,Emergency measures,ANOLGL,Anoplophora glabripennis,2015,Insecta
E,Emergency measures,AROMBU,Aromia bungii,2018,Insecta
E,Emergency measures,BURSXY,Bursaphelenchus xylophilus,2012,Nematoda
E,Emergency measures,HELIVI,Chloridea virescens,2022,Insecta
E,Emergency measures,EPIXCU,Epitrix cucumeris,2012,Insecta
E,Emergency measures,EPIXPP,Epitrix papa,2016,Insecta
E,Emergency measures,EPIXSU,Epitrix subcrinita,2012,Insecta
E,Emergency measures,EPIXTU,Epitrix tuberis,2012,Insecta
E,Emergency measures,GIBBCI,Fusarium circinatum,2007,Fungi
E,Emergency measures,HOMOMA,Homona magnanima,2024,Insecta
E,Emergency measures,MELGGC,Meloidogyne graminicola,2022,Nematoda
E,Emergency measures,GUIGCI,Phyllosticta citricarpa,2016,Fungi
E,Emergency measures,POCZSH,Pochazia shantungensis,2022,Insecta
E,Emergency measures,1POMAG,Pomacea,2012,Gastropoda
E,Emergency measures,POMACA,Pomacea canaliculata,2012,Gastropoda
E,Emergency measures,POMALI,Pomacea lineata,2012,Gastropoda
E,Emergency measures,POMAIN,Pomacea maculata,2012,Gastropoda
E,Emergency measures,POMASP,Pomacea sp.,2012,Gastropoda
E,Emergency measures,RESSCI,Resseliella citrifrugis,2022,Insecta
E,Emergency measures,LAPHFR,Spodoptera frugiperda,2018,Insecta
E,Emergency measures,PRODOR,Spodoptera ornithogalli,2022,Insecta
E,Emergency measures,TOUMPA,Toumeyella parvicornis,2022,Insecta
E,Emergency measures,XYLEFA,Xylella fastidiosa,2015,Bacteria
E,Emergency measures,XYLEFF,Xylella fastidiosa subsp. fastidiosa,2015,Bacteria
E,Emergency measures,XYLEFM,Xylella fastidiosa subsp. multiplex,2015,Bacteria
E,Emergency measures,XYLEFP,Xylella fastidiosa subsp. pauca,2015,Bacteria
E,Emergency measures,XYLEFS,Xylella fastidiosa subsp. sandyi,2015,Bacteria
E,Emergency measures,XYLEFT,Xylella fastidiosa subsp. tashke,2020,Bacteria
E,Emergency measures,XYLOCH,Xylotrechus chinensis,2022,Insecta
F,Emergency measures (formerly),AGRLPL,Agrilus planipennis,2021,Insecta
F,Emergency measures (formerly),ANOLCN,Anoplophora chinensis,2022,Insecta
F,Emergency measures (formerly),DIABVI,Diabrotica virgifera virgifera,2003,Insecta
F,Emergency measures (formerly),DRYCKU,Dryocosmus kuriphilus,2006,Insecta
F,Emergency measures (formerly),RRV000,Emaravirus rosae,2024,Viruses and viroids
F,Emergency measures (formerly),LEUIOR,Leucinodes orbonalis,2024,Insecta
F,Emergency measures (formerly),LEUIPS,Leucinodes pseudorbonalis,2025,Insecta
F,Emergency measures (formerly),PHYCFR,Phyllocoptes fructiphilus,2019,Acari
F,Emergency measures (formerly),PHYTRA,Phytophthora ramorum,2021,Chromista
F,Emergency measures (formerly),PSTVD0,Pospiviroid fusituberis,2007,Viruses and viroids
F,Emergency measures (formerly),PEPMV0,Potexvirus pepini,2004,Viruses and viroids
F,Emergency measures (formerly),PSDMAK,Pseudomonas syringae pv. actinidiae,2021,Bacteria
F,Emergency measures (formerly),RHYCFE,Rhynchophorus ferrugineus,2007,Insecta
F,Emergency measures (formerly),TOBRFV,Tobamovirus fructirugosum,2019,Viruses and viroids
K,Regulated Invasive Alien Plant,LUDUR,Ludwigia grandiflora,2008,Plantae
K,Regulated Invasive Alien Plant,LUDPE,Ludwigia peploides,2007,Plantae
K,Regulated Invasive Alien Plant,ACAKA,Vachellia karroo,1999,Plantae
L,IAS of Union concern,ACAMR,Acacia mearnsii,2025,Plantae
L,IAS of Union concern,ACASA,Acacia saligna,2019,Plantae
L,IAS of Union concern,ACRHTR,Acridotheres tristis,2019,Animalia
L,IAS of Union concern,AILAL,Ailanthus altissima,2019,Plantae
L,IAS of Union concern,ALPCAE,Alopochen aegyptiacus,2017,Animalia
L,IAS of Union concern,ALRPH,Alternanthera philoxeroides,2017,Plantae
L,IAS of Union concern,ICTAME,Ameiurus melas,2022,Animalia
L,IAS of Union concern,ANOVI,Andropogon virginicus,2019,Plantae
L,IAS of Union concern,ARDDTR,Arthurdendyus triangulatus,2019,Platyhelminthes
L,IAS of Union concern,ASCSY,Asclepias syriaca,2017,Plantae
L,IAS of Union concern,AXISAX,Axis axis,2022,Animalia
L,IAS of Union concern,BACHA,Baccharis halimifolia,2016,Plantae
L,IAS of Union concern,BRNPA,Broussonetia papyrifera,2025,Plantae
L,IAS of Union concern,CABCA,Cabomba caroliniana,2016,Plantae
L,IAS of Union concern,CLLCER,Callosciurus erythraeus,2016,Rodentia
L,IAS of Union concern,CLLCFI,Callosciurus finlaysonii,2022,Rodentia
L,IAS of Union concern,CRIGR,Cardiospermum grandiflorum,2019,Plantae
L,IAS of Union concern,PESSA,Cenchrus setaceus,2017,Plantae
L,IAS of Union concern,CHNNAR,Channa argus,2022,Animalia
L,IAS of Union concern,CDTJU,Cortaderia jubata,2019,Plantae
L,IAS of Union concern,CORVSL,Corvus splendens,2016,Animalia
L,IAS of Union concern,CSBHE,Crassula helmsii,2025,Plantae
L,IAS of Union concern,SENMI,Delairea odorata,2025,Plantae
L,IAS of Union concern,EHRCA,Ehrharta calycina,2019,Plantae
L,IAS of Union concern,ELDNU,Elodea nuttallii,2017,Plantae
L,IAS of Union concern,ERCHSI,Eriocheir sinensis,2016,Animalia
L,IAS of Union concern,ORCOLI,Faxonius limosus,2016,Animalia
L,IAS of Union concern,ORCORU,Faxonius rusticus,2022,Animalia
L,IAS of Union concern,ORCOVI,Faxonius virilis,2016,Animalia
L,IAS of Union concern,FUNUHE,Fundulus heteroclitus,2022,Animalia
L,IAS of Union concern,GAMBAF,Gambusia affinis,2022,Animalia
L,IAS of Union concern,GAMBHO,Gambusia holbrooki,2022,Animalia
L,IAS of Union concern,GUATI,Gunnera tinctoria,2017,Plantae
L,IAS of Union concern,GYNSP,Gymnocoronis spilanthoides,2019,Plantae
L,IAS of Union concern,HKASE,Hakea sericea,2022,Plantae
L,IAS of Union concern,HERMZ,Heracleum mantegazzianum,2017,Plantae
L,IAS of Union concern,HERPE,Heracleum persicum,2016,Plantae
L,IAS of Union concern,HERSO,Heracleum sosnowskyi,2016,Plantae
L,IAS of Union concern,HRPSJA,Herpestes javanicus,2016,Animalia
L,IAS of Union concern,HUMJA,Humulus scandens,2019,Plantae
L,IAS of Union concern,HYDRA,Hydrocotyle ranunculoides,2016,Plantae
L,IAS of Union concern,IPAGL,Impatiens glandulifera,2017,Plantae
L,IAS of Union concern,POLPS,Koenigia polystachya,2022,Plantae
L,IAS of Union concern,LGAMA,Lagarosiphon major,2016,Plantae
L,IAS of Union concern,LMPPGE,Lampropeltis getula,2022,Animalia
L,IAS of Union concern,LEPMGI,Lepomis gibbosus,2019,Animalia
L,IAS of Union concern,LESCU,Lespedeza cuneata,2019,Plantae
L,IAS of Union concern,LPRNFO,Limnoperna fortunei,2022,Animalia
L,IAS of Union concern,LUDUR,Ludwigia grandiflora,2016,Plantae
L,IAS of Union concern,LUDPE,Ludwigia peploides,2016,Plantae
