phylum	class	order	family	genus	names_to_use	SporeType	SporeVolume	spore_length	spore_width	SporeArea	Q_ratio
"""Zygomycetous fungi"""	Asellariomycetes	Asellariales	Asellariaceae	Asellaria	Asellaria jatibonicua	Multinucleate sexual spores	1767.1458676442585	15.0	15.0	176.71458676442586	1.0
"""Zygomycetous fungi"""	Asellariomycetes	Asellariales	Asellariaceae	Asellaria	Asellaria jatibunicua	Multinucleate sexual spores	1767.1458676442585	15.0	15.0	176.71458676442586	1.0
"""Zygomycetous fungi"""	Calcarisporiellomycetes	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	Calcarisporiella thermophila	Mitospores	75.66002307395418	6.5	4.5	23.954643983622173	1.4
"""Zygomycetous fungi"""	Calcarisporiellomycetes	Calcarisporiellales	Calcarisporiellaceae	Echinochlamydosporium	Echinochlamydosporium variabile	Mitospores	1027.4897187070828	11.5	10.524999999999999	110.34156972341175	1.1741071428571428
"""Zygomycetous fungi"""	Endogonomycetes	Endogonales	Endogonaceae	Jimgerdemannia	Jimgerdemannia flammicorona	Multinucleate sexual spores	78539.81633974482	60.0	50.0	2356.194490192345	1.2
"""Zygomycetous fungi"""	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus coronatus	Mitospores	17136.689395478286	30.85	28.4125	749.4882867453606	1.1058247753530166
"""Zygomycetous fungi"""	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus dabieshanensis	Mitospores	24057.772489337865	40.125	33.625	1054.1270537424066	1.2280701754385965
"""Zygomycetous fungi"""	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus incongruus	Mitospores	4419.95906421304	19.0	17.5	301.98559382631885	1.0625
"""Zygomycetous fungi"""	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus incongruus	Multinucleate sexual spores	4188.790204786391	20.0	20.0	314.1592653589793	1.0
"""Zygomycetous fungi"""	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus lamprauges	Mitospores	2806.162187972133	17.5	17.5	240.52818754046854	1.0
"""Zygomycetous fungi"""	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus margaritatus	Mitospores	13996.996636408216	31.25	28.5	707.7782446565827	1.1153039832285114
"""Zygomycetous fungi"""	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus margaritatus	Multinucleate sexual spores	22449.297503777063	35.0	35.0	962.1127501618741	1.0
"""Zygomycetous fungi"""	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus obscurus	Mitospores	29898.831808525334	39.75	37.75	1180.1589152750907	1.0571428571428572
"""Zygomycetous fungi"""	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus sinensis	Mitospores	4115.670453897175	20.625	19.375	314.77285767413355	1.0714285714285714
"""Zygomycetous fungi"""	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus sinensis	Multinucleate sexual spores	11494.040321933855	28.0	28.0	615.7521601035994	1.0
"""Zygomycetous fungi"""	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus stilbeus	Mitospores	3081.9023931715865	18.0	18.0	255.25440310417068	1.0
"""Zygomycetous fungi"""	Entomophthoromycetes	Entomophthorales	Entomophthoraceae	Empusa	Empusa gryllii	Mitospores	14885.258691790137	35.0	28.5	783.4346679889546	1.2280701754385965
"""Zygomycetous fungi"""	Entomophthoromycetes	Entomophthorales	Entomophthoraceae	Entomophaga	Entomophaga grylli	Mitospores	14885.258691790137	35.0	28.5	783.4346679889546	1.2280701754385965
"""Zygomycetous fungi"""	Entomophthoromycetes	Entomophthorales	Entomophthoraceae	Entomophthora	Entomophthora phalloides	Mitospores	1462.2804805521491	29.0	9.75	223.44577748657406	2.957894736842105
"""Zygomycetous fungi"""	Entomophthoromycetes	Entomophthorales	Entomophthoraceae	Entomophthora	Entomophthora planchoniana	Mitospores	10571.884703334827	25.75	24.25	540.2557616470198	1.096774193548387
"""Zygomycetous fungi"""	Entomophthoromycetes	Entomophthorales	Entomophthoraceae	Entomophthora	Entomophthora pyralidarum	Mitospores	2257.7579203798646	22.0	14.0	241.90263432641407	1.5714285714285714
"""Zygomycetous fungi"""	Entomophthoromycetes	Entomophthorales	Entomophthoraceae	Entomophthora	Entomophthora pyralidarum	Multinucleate sexual spores	3591.3640018287315	19.0	19.0	283.5287369864788	1.0
"""Zygomycetous fungi"""	Entomophthoromycetes	Entomophthorales	Entomophthoraceae	Erynia	Erynia phalloides	Mitospores	1462.2804805521491	29.0	9.75	223.44577748657406	2.957894736842105
