Total_BacDive_ids;Phylum;Class;Order;Family;Genus;gram_stain_positive;gram_stain_negative;cell_length_<=_0.9;cell_length_>_0.9_to_1.3;cell_length_>_1.3_to_2;cell_length_>_2;cell_width_<=_0.3;cell_width_>_0.3_to_0.5;cell_width_>_0.5_to_0.7;cell_width_>_0.7;cell_shape_coccus-shaped;cell_shape_rod-shaped;cell_shape_filament-shaped;cell_shape_ovoid-shaped;cell_shape_pleomorphic-shaped;cell_shape_curved-shaped;cell_shape_other;cell_shape_spiral-shaped;motility_no;motility_yes;flagellum_arrangement_polar;flagellum_arrangement_peritrichous;flagellum_arrangement_gliding;pigmentation_production_yes;pigmentation_production_no;colony_color_colorless;colony_color_cream;colony_color_yellow;colony_color_white;colony_color_brown;colony_color_pink;colony_color_orange;colony_color_red;colony_color_grey;colony_color_green;colony_color_blue;forms_multicellular_complex_no;forms_multicellular_complex_yes;temperature_opt_<=_10;temperature_opt_>_10_to_22;temperature_opt_>_22_to_32;temperature_opt_>_32_to_42;temperature_opt_>_42;temperature_preference_psychrophilic;temperature_preference_psychrotrophic;temperature_preference_mesophilic;temperature_preference_thermophilic;temperature_range_<=_10;temperature_range_>_10_to_22;temperature_range_>_22_to_32;temperature_range_>_32_to_42;temperature_range_>_42;temperature_delta_<=_10;temperature_delta_>_10_to_25;temperature_delta_>_25_to_40;temperature_delta_>_40;pH_opt_<=_5;pH_opt_>_5_to_6.5;pH_opt_>_6.5_to_7.5;pH_opt_>_7.5_to_8.5;pH_opt_>_8.5;pH_preference_acidophile;pH_preference_acido-neutrophile;pH_preference_neutrophile;pH_preference_alkalino-neutrophile;pH_preference_alkalino-alkaliphile;pH_range_<=_5;pH_range_>_5_to_6.5;pH_range_>_6.5_to_7.5;pH_range_>_7.5_to_8.5;pH_range_>_8.5;pH_delta_<=_1.5;pH_delta_>_1.5_to_3.5;pH_delta_>_3.5_to_5.5;pH_delta_>_5.5;spore_formation_no;spore_formation_yes;halophily_opt_<=_1;halophily_opt_>_1_to_4;halophily_opt_>_4_to_8;halophily_opt_>_8;halophily_preference_non-halophilic;halophily_preference_weakly;halophily_preference_moderate;halophily_preference_extreme;halophily_range_<=_1;halophily_range_>_1_to_4;halophily_range_>_4_to_8;halophily_range_>_8;halophily_delta_<=_1;halophily_delta_>_1_to_5;halophily_delta_>_5_to_9;halophily_delta_>_9;oxygen_tolerance_facultative;oxygen_tolerance_microaerophile;oxygen_tolerance_anaerobe;oxygen_tolerance_aerobe;antibiotic_resistance_frequency_<=_0.15;antibiotic_resistance_frequency_>_0.15_to_0.85;antibiotic_resistance_frequency_>_0.85;energy_source_chemotroph;energy_source_phototroph;electron_donnor_organotroph;electron_donnor_lithotroph;carbon_source_autotroph;carbon_source_heterotroph;biosafety_level_1;biosafety_level_2;biosafety_level_3;gc_content_<=_40.2;gc_content_>_40.2_to_56.4;gc_content_>_56.4_to_68.1;gc_content_>_68.1;rRNA16S_gene_copies_<=_3;rRNA16S_gene_copies_>_3_to_5;rRNA16S_gene_copies_>_5_to_7;rRNA16S_gene_copies_>_7;estimated_genome_size_<=_3.036;estimated_genome_size_>_3.036_to_5.196;estimated_genome_size_>_5.196_to_7.49;estimated_genome_size_>_7.49
750;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;1;0;0,142857142857143;0,142857142857143;0,428571428571429;0,285714285714286;0,25;0,5;0,25;0;0;0,976635514018692;0;0,0233644859813084;0;0;0;0;0,994152046783626;0,00584795321637427;NA;NA;NA;0,5;0,5;0,453488372093023;0;0;0,488372093023256;0,0232558139534884;0;0;0;0,0348837209302326;0;0;NA;NA;0;0;0;1;0;0,0877323232323232;0,217163059163059;0,694498556998557;0,000606060606060607;NA;NA;NA;NA;NA;0,0891089108910891;0,0594059405940594;0,851485148514851;0;0,25;0,5;0,25;0;0;0,279421768707483;0,347959183673469;0,219897959183673;0,108503401360544;0,04421768707483;NA;NA;NA;NA;NA;0;0,3;0,4;0,3;0,928571428571429;0,0714285714285714;0,333333333333333;0,5;0,166666666666667;0;0,314814814814815;0,62962962962963;0,0555555555555556;0;NA;NA;NA;NA;0;0,857142857142857;0;0,142857142857143;0,545774647887324;0,221830985915493;0,232394366197183;0;0,375;0;0,625;NA;NA;NA;NA;NA;NA;0,969534050179211;0,0304659498207885;0;0,744224422442244;0,255775577557756;0;0;0,00927377220480668;0,746603970741902;0,144461859979101;0,0996603970741902;1;0;0;0
254;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;0,0188679245283019;0,981132075471698;0,0666666666666667;0,4;0,4;0,133333333333333;0,333333333333333;0,266666666666667;0,2;0,2;0;1;0;0;0;0;0;0;0,425531914893617;0,574468085106383;1;0;0;1;0;0,0857142857142857;0,328571428571429;0;0,464285714285714;0,0857142857142857;0;0;0,0357142857142857;0;0;0;1;0;0;0;1;0;0;0,0353780864197531;0,89509479717813;0,0695271164021164;0;NA;NA;NA;NA;NA;0,344262295081967;0,213114754098361;0,442622950819672;0;0;0,107142857142857;0,857142857142857;0,0357142857142857;0;0,206190476190476;0,192142857142857;0,345238095238095;0,163571428571429;0,0928571428571429;NA;NA;NA;NA;NA;0,0882352941176471;0,588235294117647;0,205882352941176;0,117647058823529;1;0;0,766666666666667;0,233333333333333;0;0;0,447008547008547;0,382905982905983;0,17008547008547;0;NA;NA;NA;NA;0,129032258064516;0,451612903225806;0,032258064516129;0,387096774193548;0,15;0;0,025;0,825;0,125;0,333333333333333;0,541666666666667;1;0;NA;NA;0;1;1;0;0;0;0,0508474576271186;0,923728813559322;0,0254237288135593;0,8;0,2;0;0;0;0,0728326612903226;0,886844758064516;0,0403225806451613
1958;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;0;1;0,111111111111111;0,361111111111111;0,444444444444444;0,0833333333333333;0,129032258064516;0,516129032258065;0,193548387096774;0,161290322580645;0;0,991379310344828;0;0,00574712643678161;0;0;0,0028735632183908;0;0,0626822157434402;0,93731778425656;0,973684210526316;0,0263157894736842;0;0,385775862068966;0,614224137931034;0;0,32258064516129;0,258064516129032;0,0967741935483871;0,290322580645161;0;0;0;0,032258064516129;0;0;NA;NA;0;0,127450980392157;0,647058823529412;0,225490196078431;0;0,0427811755618716;0,731933394540092;0,224935243861705;0,000350186036331801;0,2;0,2;0,2;0,2;0,2;0,249283667621777;0,0458452722063037;0,687679083094556;0,0171919770773639;0;0,111111111111111;0,595959595959596;0,247474747474747;0,0454545454545455;0,0763507326007326;0,196794871794872;0,353708791208791;0,231868131868132;0,141277472527473;0,2;0,2;0,2;0,2;0,2;0;0,468085106382979;0,446808510638298;0,0851063829787234;0,977777777777778;0,0222222222222222;0,469135802469136;0,41358024691358;0,117283950617284;0;0,24620231133389;0,280886243386243;0,471303258145363;0,00160818713450293;0,333333333333333;0,333333333333333;0,333333333333333;0;0;0,091324200913242;0,0958904109589041;0,812785388127854;0,0128205128205128;0,00769230769230769;0,00256410256410256;0,976923076923077;0,0161290322580645;0,021505376344086;0,962365591397849;1;0;1;0;NA;NA;0,488581730769231;0,511418269230769;0;0,00617283950617284;0,0709876543209877;0,910493827160494;0,0123456790123457;0,14989837398374;0,538527551942186;0,178647244805781;0,132926829268293;0;0,188621219887237;0,809841107124551;0,00153767298821117
2490;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;0,991610738255034;0,00838926174496644;0,02;0,16;0,44;0,38;0,0434782608695652;0,239130434782609;0,347826086956522;0,369565217391304;0;0,993288590604027;0,00167785234899329;0,00335570469798658;0,00167785234899329;0;0;0;0,197552447552448;0,802447552447552;0,277777777777778;0,722222222222222;0;0,8;0,2;0,0119047619047619;0,240929705215419;0,13718820861678;0,503401360544218;0,0510204081632653;0,0317460317460317;0;0;0,0238095238095238;0;0;1;0;0;0,00483091787439613;0,618357487922705;0,277777777777778;0,0990338164251208;0,0261830704287936;0,735521735910538;0,188551618158928;0,0497435755017404;0,1375;0,227777777777778;0,227777777777778;0,227777777777778;0,179166666666667;0,1440329218107;0,106995884773663;0,156378600823045;0,592592592592593;0;0,120056497175141;0,603107344632768;0,187853107344633;0,0889830508474576;0,0240348048941799;0,747238756613757;0,101455026455026;0,0733672288359788;0,0539041832010582;0,0833333333333333;0,5;0,166666666666667;0,166666666666667;0,0833333333333333;0,0793650793650794;0,333333333333333;0,507936507936508;0,0793650793650794;0,0264550264550265;0,973544973544973;0,457446808510638;0,436170212765957;0,106382978723404;0;0,290178077864645;0,342606412382532;0,351626786701414;0,0155887230514096;NA;NA;NA;NA;0,00512820512820513;0,0717948717948718;0,123076923076923;0,8;0,292035398230089;0,0412979351032448;0,00884955752212389;0,657817109144543;0,692307692307692;0,230769230769231;0,0769230769230769;1;0;1;0;0;1;0,956021251475797;0,0433884297520661;0,000590318772136954;0,461722488038278;0,519138755980861;0,0143540669856459;0,00478468899521531;0,0321819748809733;0,00032946758039009;0,0504564433399436;0,917032114198693;0,000408997955010225;0,490184049079755;0,509406952965235;0
727;Bacillota;Clostridia;Clostridiales;Clostridiaceae;Clostridium;0,948275862068966;0,0517241379310345;0;0,05;0,3;0,65;0,0555555555555556;0,333333333333333;0,305555555555556;0,305555555555556;0;0,983193277310924;0,00420168067226891;0;0;0,00420168067226891;0,00840336134453781;0;0,621621621621622;0,378378378378378;0,125;0,875;0;0,777777777777778;0,222222222222222;0,166666666666667;0,25;0,166666666666667;0,333333333333333;0;0;0;0;0,0833333333333333;0;0;NA;NA;0,04;0,04;0,14;0,62;0,16;0,0201779701779702;0,100368767035434;0,854044412377746;0,0254088504088504;0;0;0,333333333333333;0,333333333333333;0,333333333333333;0,243243243243243;0,594594594594595;0,162162162162162;0;0,04;0,2;0,62;0,14;0;0,0928571428571429;0,27202380952381;0,347619047619047;0,20952380952381;0,0779761904761906;0,25;0,25;0,25;0,25;0;0,0769230769230769;0,576923076923077;0,307692307692308;0,0384615384615385;0,0972222222222222;0,902777777777778;0,541666666666667;0,291666666666667;0,166666666666667;0;0,498958333333333;0,408333333333333;0,0802083333333333;0,0125;NA;NA;NA;NA;0,125;0,625;0,1875;0,0625;0;0;0,997067448680352;0,00293255131964809;0,5625;0;0,4375;NA;NA;NA;NA;NA;NA;0,494897959183673;0,505102040816326;0;0,940944881889764;0,0590551181102362;0;0;0,0245231607629428;0,0735694822888283;0,0908265213442325;0,811080835603996;0,0871156661786237;0,838213762811127;0,0746705710102489;0
1924;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;0;1;NA;NA;NA;NA;NA;NA;NA;NA;0;0,99647266313933;0;0,00352733686067019;0;0;0;0;0,246;0,754;NA;NA;NA;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0,5;0,5;0;0,061802590768108;0,263098887064404;0,675098522167488;0;NA;NA;NA;NA;NA;0,08;0,00888888888888889;0,911111111111111;0;0;0;0;1;0;0;0,2;0,2;0,4;0,2;NA;NA;NA;NA;NA;0;0;1;0;1;0;0;0;1;0;0,333333333333333;0,333333333333333;0,333333333333333;0;NA;NA;NA;NA;0;0,333333333333333;0,333333333333333;0,333333333333333;0,709969788519637;0,027190332326284;0,00906344410876133;0,253776435045317;0,178217821782178;0;0,821782178217822;NA;NA;NA;NA;NA;NA;0,47752808988764;0,49438202247191;0,0280898876404494;0;0,5;0,5;0;0,279992520568437;0;0,300018698578908;0,419988780852655;0;0,999738903394256;0,000261096605744125;0
361;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;0;1;0,444444444444444;0,407407407407407;0,0740740740740741;0,0740740740740741;0,222222222222222;0,555555555555556;0,185185185185185;0,037037037037037;0;0,988888888888889;0;0;0;0;0;0,0111111111111111;0,464285714285714;0,535714285714286;0,6;0,2;0,2;0,611111111111111;0,388888888888889;0,0172413793103448;0;0,620689655172414;0,0517241379310345;0;0;0,275862068965517;0,0344827586206897;0;0;0;NA;NA;0;0,0409356725146199;0,900584795321637;0,0584795321637427;0;0,0497344081989751;0,83331458567679;0,116951006124234;0;NA;NA;NA;NA;NA;0,214285714285714;0,336734693877551;0,448979591836735;0;0;0,177536231884058;0,764492753623188;0,0579710144927536;0;0,0487366375121478;0,228134110787172;0,466569484936832;0,18041788143829;0,0761418853255589;NA;NA;NA;NA;NA;0,159090909090909;0,522727272727273;0,295454545454545;0,0227272727272727;1;0;0,888888888888889;0,111111111111111;0;0;0,572863666014351;0,267384213959556;0,159752120026093;0;NA;NA;NA;NA;0,21875;0,390625;0,046875;0,34375;0;0,0303030303030303;0;0,96969696969697;0,0357142857142857;0,285714285714286;0,678571428571429;1;0;NA;NA;0;1;0,983870967741935;0,0161290322580645;0;0;0;0,866666666666667;0,133333333333333;0,931034482758621;0,0689655172413793;0;0;0,0811594202898551;0,889855072463768;0,0289855072463768;0
691;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Vibrio;0;1;0,2;0,4;0,333333333333333;0,0666666666666667;0,0714285714285714;0,5;0,357142857142857;0,0714285714285714;0,0113636363636364;0,954545454545455;0;0,0284090909090909;0;0,00568181818181818;0;0;0,127840909090909;0,872159090909091;0,875;0,125;0;0,578947368421053;0,421052631578947;0,153846153846154;0,307692307692308;0,115384615384615;0,115384615384615;0,141025641025641;0;0;0,102564102564103;0;0,0641025641025641;0;NA;NA;0,03125;0,203125;0,609375;0,15625;0;0,0879501654662254;0,6824568721785;0,229236074418087;0,000356887937187724;NA;NA;NA;NA;NA;0,121546961325967;0,110497237569061;0,751381215469613;0,0165745856353591;0,0340579710144927;0,0485507246376811;0,613768115942029;0,273188405797101;0,0304347826086957;0,0707175925925926;0,171064814814815;0,398148148148148;0,226967592592592;0,133101851851852;NA;NA;NA;NA;NA;0;0,428571428571429;0,523809523809524;0,0476190476190476;1;0;0,0833333333333333;0,744623655913978;0,131720430107527;0,0403225806451613;0,24847758810023;0,30473944294699;0,44007437356494;0,00670859538784067;NA;NA;NA;NA;0,00636942675159236;0,0636942675159236;0,127388535031847;0,802547770700637;0,598802395209581;0,00598802395209581;0;0,395209580838323;0,835294117647059;0;0,164705882352941;1;0;1;0;NA;NA;0,442446043165468;0,557553956834532;0;0;1;0;0;0,0128076511503478;0,0102996254681648;0,0713483146067416;0,905544408774746;0;0,747101449275362;0,252898550724638;0
1021;Actinomycetota;Actinobacteria;Mycobacteriales;Mycobacteriaceae;Mycobacterium;0,967532467532468;0,0324675324675325;0;0,5;0,5;0;0;1;0;0;0,0260416666666667;0,9296875;0;0,0442708333333333;0;0;0;0;0,989247311827957;0,010752688172043;NA;NA;NA;0,534883720930233;0,465116279069767;0,0238095238095238;0,196428571428571;0,316666666666667;0,093452380952381;0,0922619047619048;0;0,116666666666667;0,0119047619047619;0,0297619047619048;0,119047619047619;0;0,976190476190476;0,0238095238095239;0;0,00537634408602151;0,241935483870968;0,752688172043011;0;0,0331546620227402;0,253775892945274;0,712092246334917;0,000977198697068404;NA;NA;NA;NA;NA;0,210045662100457;0,19634703196347;0,579908675799087;0,0136986301369863;0;0,111111111111111;0,888888888888889;0;0;0,0416666666666667;0,25;0,611111111111111;0,0833333333333333;0,0138888888888889;NA;NA;NA;NA;NA;0,2;0,6;0,2;0;0,98;0,02;0,0769230769230769;0,384615384615385;0,538461538461538;0;0,140322580645161;0,710215053763441;0,149462365591398;0;NA;NA;NA;NA;0;0,583333333333333;0,0833333333333333;0,333333333333333;0,0355555555555556;0,377777777777778;0;0,586666666666667;0,411764705882353;0,382352941176471;0,205882352941176;NA;NA;NA;NA;NA;NA;0,324395373291272;0,407465825446898;0,26813880126183;0;0,0111111111111111;0,738888888888889;0,25;1;0;0;0;0;0,363412228796844;0,596153846153846;0,0404339250493097
1331;Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;0,992857142857143;0,00714285714285714;1;0;0;0;NA;NA;NA;NA;0,99645390070922;0,00354609929078014;0;0;0;0;0;0;0,995098039215686;0,00490196078431373;NA;NA;NA;0,625;0,375;0,333333333333333;0;0;0,666666666666667;0;0;0;0;0;0;0;NA;NA;0;0,0357142857142857;0,25;0,678571428571429;0,0357142857142857;0,0265547619047619;0,224122619047619;0,749322619047619;0;NA;NA;NA;NA;NA;0,114093959731544;0,0469798657718121;0,838926174496644;0;0;0,125;0,625;0,125;0,125;0;0,0833333333333334;0,527777777777778;0,194444444444444;0,194444444444444;NA;NA;NA;NA;NA;0;0,5;0,5;0;1;0;0;0;0;1;0,0625;0,104166666666667;0,541666666666667;0,291666666666667;NA;NA;NA;NA;0;0,4;0;0,6;0,300970873786408;0,0970873786407767;0,0412621359223301;0,560679611650485;0,582897033158813;0,146596858638743;0,270506108202443;NA;NA;NA;NA;NA;NA;0,347457627118644;0,652542372881356;0;0,990476190476191;0,00952380952380952;0;0;0,138966480446927;0,288740356477786;0,496641393987763;0,0756517690875234;0,999246420497362;0,000753579502637528;0;0
