GENUS;Source;COMMENT on genus;primary_lifestyle;Secondary_lifestyle;Comment_on_lifestyle_template;Endophytic_interaction_capability_template;Plant_pathogenic_capacity_template;Decay_substrate_template;Decay_type_template;Aquatic_habitat_template;Animal_biotrophic_capacity_template;Specific_hosts;Growth_form_template;Fruitbody_type_template;Hymenium_type_template;Ectomycorrhiza_exploration_type_template;Ectomycorrhiza_lineage_template;primary_photobiont;secondary_photobiont
Pycnocarpon;Fungal_traits_DB;;epiphyte;litter_saprotroph;;foliar_endophyte;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle);closed;;;;
Neobueliella;Fungal_traits_DB;;lichen_parasite;;;;;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Neocochlearomyces;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;;;Chromolaena;filamentous_mycelium;;;;;;
Anthodidymella;Fungal_traits_DB;;wood_saprotroph;;;;;wood,leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Aquimassariosphaeria;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;freshwater;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Neolindgomyces;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;;;;filamentous_mycelium;;;;;;
Crassiperidium;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Aquihelicascus;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;freshwater;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Paratrimmatostroma;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;;;;filamentous_mycelium;;;;;;
Arezzomyces;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Dlhawksworthia;Fungal_traits_DB;;wood_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Hydeomyces;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;filamentous_mycelium;;;;;;
Piniphoma;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;filamentous_mycelium;;;;;;
Pleohelicoon;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;Fagus;filamentous_mycelium;;;;;;
Typhicola;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;;;Typha;filamentous_mycelium;;;;;;
Rubroshiraia;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;bamboo;filamentous_mycelium;;;;;;
Anthosulcatispora;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Liua;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;filamentous_mycelium;;;;;;
Discotubeufia;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;;;Brownea;filamentous_mycelium;;;;;;
Acantharia;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Clavidisculum;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Heterotruncatella;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;;;;filamentous_mycelium;;;;;;
Neoleptosporella;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;filamentous_mycelium;;;;;;
Furfurella;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;filamentous_mycelium;;;;;;
Capillaureum;Fungal_traits_DB;;plant_pathogen;wood_saprotroph;;;wood_pathogen;wood;;;;;filamentous_mycelium;;;;;;
Chrysomorbus;Fungal_traits_DB;;plant_pathogen;wood_saprotroph;;;wood_pathogen;wood;;;;;filamentous_mycelium;;;;;;
Eriocamporesia;Fungal_traits_DB;;plant_pathogen;wood_saprotroph;;;wood_pathogen;wood;;;;;filamentous_mycelium;;;;;;
Neomelanconiella;Fungal_traits_DB;;plant_pathogen;litter_saprotroph;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;;;Combretum;filamentous_mycelium;;;;;;
Neomyrmecridium;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;;;;filamentous_mycelium;;;;;;
Xenodactylaria;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;;;;filamentous_mycelium;;;;;;
Pseudodiplococcium;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;;;;filamentous_mycelium;;;;;;
Adustochaete;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;corticioid;hydnoid;;;;
Metulochaete;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;corticioid;hydnoid;;;;
Proterochaete;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;corticioid;other;;;;
Psilochaete;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;filamentous_mycelium;tremelloid;smooth;;;;
Pekloderma;Fungal_traits_DB;synonym of Kurtia;wood_saprotroph;ericoid_mycorrhizal;;;;wood;;non-aquatic;;;filamentous_mycelium;corticioid;smooth;;;;
Geesterania;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;polyporoid;poroid;;;;
Staurospora;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;trentepohlioid;
Galbinothrix;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;chlorococcoid;
Amylogalla;Fungal_traits_DB;;lichen_parasite;fungal_decomposer;;;;fungal_material,algal_material;;non-aquatic;;;;apothecium_(hymenium_on_surface);smooth;;;;
Craspedodidymella;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;;;;;;
Crousobrauniella;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;Shorea;;;;;;;
Hyalodermella;Fungal_traits_DB;;;;;;;;;;;;;;;;;;
Saania;Fungal_traits_DB;;lichen_parasite;fungal_decomposer;;;;fungal_material,algal_material;;non-aquatic;;;;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Vizellopsidites;Fungal_traits_DB;fossil;plant_pathogen;;;;unspecified_plant_pathogen;;;;;;;;;;;;
Asterostomella;Fungal_traits_DB;;plant_pathogen;foliar_endophyte;;foliar_endophyte;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;;;;;;
Mycosphaerellopsis;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Planistroma;Fungal_traits_DB;;litter_saprotroph;wood_saprotroph;;;;wood,leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Aeminium;Fungal_traits_DB;;sooty_mold;litter_saprotroph;;;;leaf/fruit/seed,sugar-rich_substrates;mold;non-aquatic;;;filamentous_mycelium;;;;;;
Globoramichloridium;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Paradevriesia;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Ceratosperma;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Plurivorosphaerella;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;;;;;;
Nowamyces;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;Eucalyptus ;filamentous_mycelium;;;;;;
Lawreya;Fungal_traits_DB;;lichen_parasite;fungal_decomposer;;;;fungal_material,algal_material;;non-aquatic;;;filamentous_mycelium;none;none;;;;
Xenodevriesia;Fungal_traits_DB;;plant_pathogen;;;;unspecified_plant_pathogen;;;non-aquatic;;Strelitzia;filamentous_mycelium;;;;;;
Neocelosporium;Fungal_traits_DB;;;;;;;;;non-aquatic;;Eucalyptus ;filamentous_mycelium;;;;;;
Pseudoconlarium;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;;;;;;;
