Reference,DOI,Ref_Type,Accession,Fungi,Scientific_Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Study_Type,Organ,Sampling_Location,Lat,Lon,Country,Collection_Date,Host_Genus,Host_Species,Host_Kingdom,Host_Phylum,Host_Class,Host_Order,Host_Family,MAT,MAP,Elevation,spr_rgn
"Gholami, M., Amini, J., Abdollahzadeh, J., & Ashengroph, M. (2019). Basidiomycetes fungi as biocontrol agents against take-all disease of wheat. Biological Control, 130, 34-43.",https://doi.org/10.1016/j.biocontrol.2018.12.012,Literature,MH392543,Fomes fomentarius,Fomes fomentarius (L.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Fomes,Fomes fomentarius,Culture based study,Others,kermanshah province,34.4775,45.8338,Iran,NA/04/2016,Avena,ludoviciana,Plantae,Magnoliophyta,Magnoliopsida,Poales,Poaceae,1.97273330688476,502,531,Mexico NW deserts and montane forests
Identification of endophytic fungi of Pistacia vera,Unpublished,GenBank,KP641149,Fomes fomentarius,Fomes fomentarius (L.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Fomes,Fomes fomentarius,NA,NA,NA,NA,NA,NA,NA,Pistacia,vera,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Anacardiaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN899257,Peniophora versiformis,Peniophora versiformis (Berk. & M.A.Curtis) Bourdot & Galzin,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,Peniophora versiformis,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Endophytic fungi,Unpublished,GenBank,MW534811,Phanerochaete livescens,Phanerochaete livescens (P.Karst.) Volobuev & Spirin,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,Phanerochaete livescens,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Can nitrogen supersede host identity in shaping the community composition of foliar endophytic fungi in an alpine meadow ecosystem,Unpublished,GenBank,OM745541,Radulomyces molaris,Radulomyces molaris (Chaillet ex Fr.) M.P.Christ.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Radulomycetaceae,Radulomyces,Radulomyces molaris,NA,NA,NA,33.66667,101.85,China,NA,Anemone,rivularis,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,0.0619000017642974,717,3535,Arabic drylands
"Two different endophytic basidiomycete fungi cultured from a permanent grassland of Giessen, Germany, harbor the same endobacterium",Unpublished,GenBank,KX838369,Stereum hirsutum,Stereum hirsutum (Willd.) Pers.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum hirsutum,NA,Root,NA,NA,NA,Germany,NA,Arrhenatherum,elatius,Plantae,Magnoliophyta,Magnoliopsida,Poales,Poaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN898762,Stereum hirsutum,Stereum hirsutum (Willd.) Pers.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum hirsutum,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Min, Y. J., Park, M. S., Fong, J. J., Quan, Y., Jung, S., & Lim, Y. W. (2014). Diversity and saline resistance of endophytic fungi associated with Pinus thunbergii in coastal shelterbelts of Korea. Journal of Microbiology and Biotechnology, 24(3), 324-333.",http://dx.doi.org/10.4014/jmb.1310.10041,Literature,KF313120,Stereum hirsutum,Stereum hirsutum (Willd.) Pers.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum hirsutum,Microbiome study,Root,NA,NA,NA,South Korea,NA,Pinus,thunbergii,Plantae,Pinophyta,Pinopsida,Pinales,Pinaceae,NA,NA,NA,NA
"Knapp, D. G., Lázár, A., Molnár, A., Vajna, B., Karácsony, Z., Váczy, K. Z., & Kovács, G. M. (2021). Above?ground parts of white grapevine Vitis vinifera cv. Furmint share core members of the fungal microbiome. Environmental Microbiology Reports.",https://doi.org/10.1111/1758-2229.12950,Literature,MW364470,Stereum hirsutum,Stereum hirsutum (Willd.) Pers.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum hirsutum,Culture based study,Leaf,"Eger, Nagy-Eged",47.922849,20.413688,Hungary,NA/11/2018,Vitis,vinifera,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rhamnaceae,0.960083293914795,534,313,Mexico NW deserts and montane forests
Endophytic fungi isolated from achillea santolina,Unpublished,GenBank,MH250003,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,NA,NA,NA,NA,NA,NA,NA,Achillea,santolina,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,NA,NA,NA,NA
